hex,name,category,class,utf8_bytes,A,B,C,D,E,F,G,H,I,J,K,L,M,auto_score,semantic_tier,effective_tier,tier_name,notes
U+E0072,TAG LATIN SMALL LETTER R,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0073,TAG LATIN SMALL LETTER S,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0074,TAG LATIN SMALL LETTER T,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0075,TAG LATIN SMALL LETTER U,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0076,TAG LATIN SMALL LETTER V,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0077,TAG LATIN SMALL LETTER W,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0078,TAG LATIN SMALL LETTER X,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0079,TAG LATIN SMALL LETTER Y,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E007A,TAG LATIN SMALL LETTER Z,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E007B,TAG LEFT CURLY BRACKET,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E007C,TAG VERTICAL LINE,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E007D,TAG RIGHT CURLY BRACKET,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E007E,TAG TILDE,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E007F,CANCEL TAG,Cf,tag,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0100,VARIATION SELECTOR-17,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0101,VARIATION SELECTOR-18,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0102,VARIATION SELECTOR-19,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0103,VARIATION SELECTOR-20,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0104,VARIATION SELECTOR-21,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0105,VARIATION SELECTOR-22,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0106,VARIATION SELECTOR-23,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0107,VARIATION SELECTOR-24,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0108,VARIATION SELECTOR-25,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0109,VARIATION SELECTOR-26,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E010A,VARIATION SELECTOR-27,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E010B,VARIATION SELECTOR-28,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E010C,VARIATION SELECTOR-29,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E010D,VARIATION SELECTOR-30,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E010E,VARIATION SELECTOR-31,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E010F,VARIATION SELECTOR-32,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0110,VARIATION SELECTOR-33,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0111,VARIATION SELECTOR-34,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0112,VARIATION SELECTOR-35,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0113,VARIATION SELECTOR-36,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0114,VARIATION SELECTOR-37,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0115,VARIATION SELECTOR-38,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0116,VARIATION SELECTOR-39,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0117,VARIATION SELECTOR-40,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0118,VARIATION SELECTOR-41,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0119,VARIATION SELECTOR-42,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E011A,VARIATION SELECTOR-43,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E011B,VARIATION SELECTOR-44,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E011C,VARIATION SELECTOR-45,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E011D,VARIATION SELECTOR-46,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E011E,VARIATION SELECTOR-47,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E011F,VARIATION SELECTOR-48,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0120,VARIATION SELECTOR-49,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0121,VARIATION SELECTOR-50,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0122,VARIATION SELECTOR-51,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0123,VARIATION SELECTOR-52,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0124,VARIATION SELECTOR-53,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0125,VARIATION SELECTOR-54,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0126,VARIATION SELECTOR-55,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0127,VARIATION SELECTOR-56,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0128,VARIATION SELECTOR-57,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0129,VARIATION SELECTOR-58,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E012A,VARIATION SELECTOR-59,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E012B,VARIATION SELECTOR-60,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E012C,VARIATION SELECTOR-61,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E012D,VARIATION SELECTOR-62,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E012E,VARIATION SELECTOR-63,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E012F,VARIATION SELECTOR-64,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0130,VARIATION SELECTOR-65,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0131,VARIATION SELECTOR-66,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0132,VARIATION SELECTOR-67,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0133,VARIATION SELECTOR-68,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0134,VARIATION SELECTOR-69,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0135,VARIATION SELECTOR-70,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0136,VARIATION SELECTOR-71,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0137,VARIATION SELECTOR-72,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0138,VARIATION SELECTOR-73,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0139,VARIATION SELECTOR-74,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E013A,VARIATION SELECTOR-75,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E013B,VARIATION SELECTOR-76,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E013C,VARIATION SELECTOR-77,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E013D,VARIATION SELECTOR-78,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E013E,VARIATION SELECTOR-79,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E013F,VARIATION SELECTOR-80,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0140,VARIATION SELECTOR-81,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0141,VARIATION SELECTOR-82,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0142,VARIATION SELECTOR-83,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0143,VARIATION SELECTOR-84,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0144,VARIATION SELECTOR-85,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0145,VARIATION SELECTOR-86,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0146,VARIATION SELECTOR-87,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0147,VARIATION SELECTOR-88,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0148,VARIATION SELECTOR-89,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0149,VARIATION SELECTOR-90,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E014A,VARIATION SELECTOR-91,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E014B,VARIATION SELECTOR-92,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E014C,VARIATION SELECTOR-93,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E014D,VARIATION SELECTOR-94,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E014E,VARIATION SELECTOR-95,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E014F,VARIATION SELECTOR-96,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0150,VARIATION SELECTOR-97,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0151,VARIATION SELECTOR-98,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0152,VARIATION SELECTOR-99,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0153,VARIATION SELECTOR-100,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0154,VARIATION SELECTOR-101,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0155,VARIATION SELECTOR-102,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0156,VARIATION SELECTOR-103,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0157,VARIATION SELECTOR-104,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0158,VARIATION SELECTOR-105,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0159,VARIATION SELECTOR-106,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E015A,VARIATION SELECTOR-107,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E015B,VARIATION SELECTOR-108,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E015C,VARIATION SELECTOR-109,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E015D,VARIATION SELECTOR-110,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E015E,VARIATION SELECTOR-111,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E015F,VARIATION SELECTOR-112,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0160,VARIATION SELECTOR-113,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0161,VARIATION SELECTOR-114,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0162,VARIATION SELECTOR-115,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0163,VARIATION SELECTOR-116,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0164,VARIATION SELECTOR-117,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0165,VARIATION SELECTOR-118,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0166,VARIATION SELECTOR-119,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0167,VARIATION SELECTOR-120,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0168,VARIATION SELECTOR-121,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0169,VARIATION SELECTOR-122,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E016A,VARIATION SELECTOR-123,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E016B,VARIATION SELECTOR-124,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E016C,VARIATION SELECTOR-125,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E016D,VARIATION SELECTOR-126,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E016E,VARIATION SELECTOR-127,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E016F,VARIATION SELECTOR-128,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0170,VARIATION SELECTOR-129,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0171,VARIATION SELECTOR-130,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0172,VARIATION SELECTOR-131,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0173,VARIATION SELECTOR-132,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0174,VARIATION SELECTOR-133,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0175,VARIATION SELECTOR-134,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0176,VARIATION SELECTOR-135,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
U+E0177,VARIATION SELECTOR-136,Mn,var_sel_sup,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,13,3,3,EXPERIMENTAL,
